index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
54,Cata Regia,2017,1260784,Reserva Syrah 2017,3.7,562,3.99,España,Terra Alta,Catalunya Sul
55,Valcarlos,2018,1546447,Fortius Roble 2018,3.5,554,3.99,España,Navarra,other
56,Hoya de Cadenas,2017,1437851,Reserva Tempranillo 2017,3.4,244,3.99,España,Utiel-Requena,other
57,Oristan,2015,78569,Bronze Crianza 2015,3.4,308,4.0,España,La Mancha,other
58,Ca N'Estella,2019,1446183,Clot Dels Oms Petit Tinto 2019,3.4,33,4.0,España,Panadés,other
59,Baluarte,2018,4298499,Roble 2018,3.6,565,4.0,España,Navarra,other
60,Borsao Bodegas,2020,1136710,Tinto (Selección / Garnacha) 2020,3.6,290,4.04,España,Campo de Borja,other
61,Pagos de Aráiz,2019,86346,Navarra Tinto Roble 2019,3.8,29,4.07,España,Navarra,other
62,The Freaky Wines,2019,5537773,Tempranillo 2019,3.6,569,4.1,España,Castilla,other
63,Marqués de Tosos,2017,4539988,Crianza 2017,3.3,25,4.1,España,Cariñena,Catalunya Sul
64,Corona de Aragón,2019,1580664,Garnacha 2019,3.3,38,4.15,España,Cariñena,Catalunya Sul
65,Viña Alcanta,2020,4764038,Tinto 2020,3.5,116,4.16,España,Alicante,other
66,Finca del Mar,2018,76609,Tempranillo Crianza 2018,3.4,174,4.166666666666667,España,Utiel-Requena,other
67,Familia Torres,2020,1385210,Sangre de Toro 2020,3.1,140,4.185,España,Cataluña,Catalunya Sul
68,Bodega Pirineos,2020,2696722,Montesierra Red Blend 2020,3.4,88,4.2,España,Somontano,other
